user_id,terms_and_conditions,terms_accepted_at,govt_id_path,path_updated_at,skill_codes,availability,current_page,application_status,is_completed,created_at,last_updated_at
31291,True,2023-02-04 23:30:58,/uploads/govt_ids/user_31291.pdf,2023-02-15 05:16:58,"3,5,7",part_time,3,draft,False,2023-02-04 22:16:58,2023-02-27 11:16:58
77779,True,2025-05-01 17:49:06,/uploads/govt_ids/user_77779.pdf,2025-05-02 07:43:06,"6,7,8",part_time,3,submitted,False,2025-05-01 16:43:06,2025-05-14 16:45:06
71434,True,2023-03-09 06:30:32,/uploads/govt_ids/user_71434.pdf,2023-03-26 17:12:32,"1,3,4",weekends_only,5,approved,True,2023-03-09 06:12:32,2023-05-14 14:39:32
17195,True,2024-06-16 10:32:44,/uploads/govt_ids/user_17195.pdf,2024-06-24 05:10:44,"2,5,7,8",part_time,5,approved,True,2024-06-16 08:10:44,2024-07-28 01:40:44
48591,True,2025-10-14 16:06:24,/uploads/govt_ids/user_48591.pdf,2025-11-01 21:32:24,"2,6",part_time,5,approved,True,2025-10-14 13:32:24,2025-11-25 00:08:24
79258,True,2024-09-30 22:18:28,/uploads/govt_ids/user_79258.pdf,2024-10-11 17:34:28,"2,5,6",full_time,4,under_review,False,2024-09-30 20:34:28,2024-10-27 19:32:28
62236,True,2024-03-05 21:05:20,/uploads/govt_ids/user_62236.pdf,2024-03-16 11:11:20,"2,3,4,5",part_time,5,approved,True,2024-03-05 19:11:20,2024-06-14 20:54:20
76234,True,2023-11-10 19:45:40,,2023-12-08 08:57:40,"5,6",full_time,5,under_review,False,2023-11-10 18:57:40,2024-02-08 00:34:40
8689,True,2025-02-12 08:50:44,/uploads/govt_ids/user_8689.pdf,2025-02-18 08:22:44,"2,7",weekends_only,5,approved,True,2025-02-12 07:22:44,2025-05-14 19:49:44
79478,True,2025-06-15 05:42:56,,2025-06-25 08:08:56,"1,2,4,5",weekdays_evening,5,completed,True,2025-06-15 04:08:56,2025-08-23 05:47:56
1826,True,2023-07-07 13:13:49,/uploads/govt_ids/user_1826.pdf,2023-07-07 23:28:49,"1,3,4,7",full_time,3,under_review,False,2023-07-07 12:28:49,2023-09-16 16:21:49
61604,True,2025-10-15 12:13:50,/uploads/govt_ids/user_61604.pdf,2025-11-08 16:30:50,"3,5,6,8",weekends_only,5,approved,True,2025-10-15 11:30:50,2025-11-28 00:13:50
34095,True,2025-06-15 06:48:03,/uploads/govt_ids/user_34095.pdf,2025-06-17 03:06:03,"1,4,6,8",full_time,5,submitted,False,2025-06-15 04:06:03,2025-07-20 21:25:03
72293,True,2025-08-04 15:46:21,,2025-08-23 00:23:21,"2,7,8",weekdays_evening,2,submitted,False,2025-08-04 15:23:21,2025-09-06 11:10:21
30815,True,2023-03-28 08:35:08,/uploads/govt_ids/user_30815.pdf,2023-04-06 22:26:08,"1,4,5",part_time,5,approved,True,2023-03-28 08:26:08,2023-07-24 08:02:08
25233,True,2024-05-11 22:51:26,/uploads/govt_ids/user_25233.pdf,2024-06-08 16:09:26,"6,8",weekdays_morning,4,under_review,False,2024-05-11 21:09:26,2024-07-09 15:47:26
61739,True,2024-02-04 12:52:41,/uploads/govt_ids/user_61739.pdf,2024-02-08 22:59:41,"7,8",weekends_only,5,approved,True,2024-02-04 09:59:41,2024-05-16 18:21:41
71007,True,2025-09-07 01:24:12,/uploads/govt_ids/user_71007.pdf,2025-09-12 07:25:12,"2,5,7,8",flexible,5,approved,True,2025-09-06 23:25:12,2025-11-20 04:04:12
72142,True,2025-04-04 14:45:23,/uploads/govt_ids/user_72142.pdf,2025-05-03 06:00:23,"3,8",weekdays_morning,5,completed,True,2025-04-04 14:00:23,2025-05-22 19:10:23
62537,True,2024-06-29 00:44:52,/uploads/govt_ids/user_62537.pdf,2024-07-03 16:46:52,"2,4,8",part_time,4,under_review,False,2024-06-28 21:46:52,2024-10-19 09:30:52
52154,True,2023-07-24 01:09:38,/uploads/govt_ids/user_52154.pdf,2023-08-06 23:02:38,"5,8",flexible,5,completed,True,2023-07-24 01:02:38,2023-10-27 20:46:38
19842,True,2023-09-13 05:16:55,/uploads/govt_ids/user_19842.pdf,2023-09-24 03:04:55,"1,8",full_time,5,completed,True,2023-09-13 04:04:55,2023-09-17 15:42:55
30499,True,2023-09-18 16:42:40,/uploads/govt_ids/user_30499.pdf,2023-10-15 20:31:40,"2,6,8",full_time,1,under_review,False,2023-09-18 15:31:40,2023-11-06 07:52:40
19974,True,2023-01-02 21:50:13,/uploads/govt_ids/user_19974.pdf,2023-01-28 22:14:13,"1,2,8",weekends_only,3,on_hold,False,2023-01-02 20:14:13,2023-02-09 05:30:13
68675,True,2025-11-01 04:37:42,/uploads/govt_ids/user_68675.pdf,2025-11-09 05:27:42,"3,4,7",part_time,5,submitted,False,2025-11-01 04:27:42,2025-11-14 14:00:42
51210,True,2024-07-05 09:31:43,/uploads/govt_ids/user_51210.pdf,2024-07-19 01:05:43,"2,3,7,8",full_time,4,under_review,False,2024-07-05 08:05:43,2024-08-14 15:37:43
2086,True,2025-12-30 19:45:35,,2026-01-11 07:20:35,"2,4",weekdays_morning,2,submitted,False,2025-12-30 18:20:35,2026-03-11 15:18:35
8493,True,2025-02-07 08:29:32,/uploads/govt_ids/user_8493.pdf,2025-02-20 05:17:32,"1,5,6,8",weekdays_morning,5,approved,True,2025-02-07 07:17:32,2025-05-28 00:25:32
20993,True,2025-04-09 18:04:10,/uploads/govt_ids/user_20993.pdf,2025-04-11 14:53:10,"1,2,3,6",flexible,5,approved,True,2025-04-09 17:53:10,2025-05-03 01:45:10
77577,True,2023-11-11 13:36:44,/uploads/govt_ids/user_77577.pdf,2023-11-21 16:44:44,"3,6,8",part_time,5,approved,True,2023-11-11 11:44:44,2024-02-10 10:18:44
5709,True,2025-11-28 03:53:27,/uploads/govt_ids/user_5709.pdf,2025-12-13 08:52:27,"4,5",part_time,2,submitted,False,2025-11-28 01:52:27,2025-12-04 11:39:27
39588,True,2023-05-29 06:22:21,/uploads/govt_ids/user_39588.pdf,2023-05-31 22:26:21,"1,4,5",weekdays_morning,5,approved,True,2023-05-29 03:26:21,2023-07-03 22:39:21
4165,True,2025-12-09 14:50:50,/uploads/govt_ids/user_4165.pdf,2025-12-29 02:56:50,"6,8",weekdays_evening,5,approved,True,2025-12-09 12:56:50,2026-03-16 22:44:50
35415,True,2023-03-29 06:55:32,/uploads/govt_ids/user_35415.pdf,2023-04-15 13:59:32,"1,4,7",weekdays_evening,4,submitted,False,2023-03-29 03:59:32,2023-04-04 21:06:32
62065,True,2023-01-29 09:39:42,,2023-02-09 16:04:42,"3,5",full_time,4,on_hold,False,2023-01-29 08:04:42,2023-02-07 07:15:42
78056,True,2025-08-22 03:42:47,/uploads/govt_ids/user_78056.pdf,2025-09-17 14:33:47,"1,6,7",full_time,5,draft,False,2025-08-22 03:33:47,2025-08-29 17:40:47
50905,True,2023-02-10 00:19:58,/uploads/govt_ids/user_50905.pdf,2023-03-10 18:28:58,"3,6,8",part_time,5,completed,True,2023-02-09 21:28:58,2023-05-24 04:35:58
56060,True,2025-04-20 00:50:03,/uploads/govt_ids/user_56060.pdf,2025-05-07 05:22:03,"1,2,3,4",flexible,4,submitted,False,2025-04-20 00:22:03,2025-05-20 11:21:03
51869,True,2024-04-08 21:56:56,/uploads/govt_ids/user_51869.pdf,2024-04-15 01:41:56,"2,3,4",full_time,1,under_review,False,2024-04-08 19:41:56,2024-08-06 07:19:56
75717,True,2023-05-17 09:22:45,/uploads/govt_ids/user_75717.pdf,2023-05-20 03:21:45,"1,4",weekends_only,5,approved,True,2023-05-17 08:21:45,2023-08-29 21:28:45
58378,True,2025-04-24 21:20:30,/uploads/govt_ids/user_58378.pdf,2025-05-06 21:44:30,"1,3,7",weekdays_morning,5,approved,True,2025-04-24 19:44:30,2025-08-10 04:06:30
17684,True,2023-12-09 23:59:01,/uploads/govt_ids/user_17684.pdf,2024-01-03 12:10:01,"1,2,3,5",flexible,5,approved,True,2023-12-09 22:10:01,2024-03-05 02:20:01
48010,True,2025-09-16 04:37:56,/uploads/govt_ids/user_48010.pdf,2025-10-01 17:45:56,"1,3,5",part_time,5,approved,True,2025-09-16 01:45:56,2025-10-27 14:41:56
12874,True,2025-02-28 14:57:40,/uploads/govt_ids/user_12874.pdf,2025-03-09 07:52:40,"3,5,7",part_time,5,approved,True,2025-02-28 12:52:40,2025-05-31 15:20:40
4804,True,2025-07-04 18:19:23,/uploads/govt_ids/user_4804.pdf,2025-07-13 18:46:23,"3,5,7,8",full_time,5,completed,True,2025-07-04 15:46:23,2025-09-09 16:10:23
17922,True,2025-01-12 13:43:44,/uploads/govt_ids/user_17922.pdf,2025-01-13 01:54:44,"1,8",flexible,1,submitted,False,2025-01-12 11:54:44,2025-04-28 00:30:44
64966,True,2023-10-16 15:57:21,/uploads/govt_ids/user_64966.pdf,2023-11-06 15:16:21,"2,3,4,8",weekends_only,4,rejected,False,2023-10-16 13:16:21,2023-10-25 23:49:21
28541,True,2024-02-17 19:25:03,/uploads/govt_ids/user_28541.pdf,2024-02-22 13:08:03,"1,4,6,7",full_time,1,under_review,False,2024-02-17 17:08:03,2024-03-29 18:55:03
33915,True,2025-02-17 04:54:39,/uploads/govt_ids/user_33915.pdf,2025-03-16 08:58:39,"1,2,6",full_time,5,rejected,False,2025-02-17 02:58:39,2025-04-18 12:39:39
57269,True,2024-01-07 01:16:59,/uploads/govt_ids/user_57269.pdf,2024-01-26 04:24:59,"1,3,5,6",weekdays_morning,5,completed,True,2024-01-06 23:24:59,2024-02-01 11:37:59
39557,True,2023-02-26 21:47:14,/uploads/govt_ids/user_39557.pdf,2023-03-13 09:36:14,"1,7,8",weekdays_morning,1,on_hold,False,2023-02-26 21:36:14,2023-06-11 08:03:14
55301,True,2024-03-03 21:58:42,/uploads/govt_ids/user_55301.pdf,2024-03-05 01:02:42,"1,4,5,8",weekends_only,5,approved,True,2024-03-03 19:02:42,2024-07-02 02:32:42
66586,True,2025-04-26 21:08:04,/uploads/govt_ids/user_66586.pdf,2025-05-04 11:02:04,"2,4,5,7",weekends_only,4,under_review,False,2025-04-26 21:02:04,2025-08-08 18:28:04
50677,True,2024-05-05 13:37:54,/uploads/govt_ids/user_50677.pdf,2024-05-20 13:45:54,"3,4,6",flexible,3,submitted,False,2024-05-05 10:45:54,2024-08-18 22:26:54
75339,True,2024-01-01 15:43:42,/uploads/govt_ids/user_75339.pdf,2024-01-20 13:41:42,"3,4,5,7",weekdays_morning,5,approved,True,2024-01-01 13:41:42,2024-03-04 08:02:42
46095,True,2025-07-15 17:26:58,/uploads/govt_ids/user_46095.pdf,2025-07-21 14:33:58,"1,2,4,7",part_time,5,approved,True,2025-07-15 15:33:58,2025-09-30 05:35:58
70106,True,2023-02-02 14:46:15,/uploads/govt_ids/user_70106.pdf,2023-02-22 09:35:15,"4,8",weekdays_morning,5,draft,False,2023-02-02 12:35:15,2023-04-10 11:37:15
76787,True,2023-12-17 05:52:34,/uploads/govt_ids/user_76787.pdf,2023-12-21 16:56:34,"3,4,7",flexible,5,rejected,False,2023-12-17 04:56:34,2024-03-26 14:02:34
53522,True,2024-07-15 16:30:27,/uploads/govt_ids/user_53522.pdf,2024-07-30 19:20:27,"2,6,7,8",part_time,4,submitted,False,2024-07-15 15:20:27,2024-10-25 09:12:27
76680,True,2025-08-27 05:38:16,,2025-09-09 00:24:16,"1,4,5",weekdays_evening,2,submitted,False,2025-08-27 04:24:16,2025-08-28 17:22:16
