,user_id,state_id,country_id,user_status_id,user_category_id,full_name,first_name,middle_name,last_name,primary_email_address,primary_phone_number,addr_ln1,addr_ln2,addr_ln3,city_name,zip_code,last_location,last_update_date,time_zone,profile_picture_path,gender,language_1,language_2,language_3,promotion_wizard_stage,promotion_wizard_last_update_date,external_auth_provider,dob
0,U0001,191.9,191,1,2,Margaret Joshua Johnson,Margaret,Joshua,Johnson,rhodespatricia@example.org,001-260-501-3389,79402 Peterson Drives Apt. 511,Suite 155,,Lindsaymouth,70785,"-56.4922325,23.224098",2025-05-31 21:19:11,America/Campo_Grande,/assets/profiles/U0001.jpg,Female,English,German,,2,2025-05-26 21:19:11,Email,1960-06-14
1,U0002,225.16,225,1,2,Elaine Fuller,Elaine,,Fuller,barbara10@example.net,441.731.6475,41928 Frank Light Suite 835,Apt. 305,,Adamsborough,74842,"-5.529299,-65.846995",2026-03-08 08:25:21,Africa/Ndjamena,/assets/profiles/U0002.jpg,Non-binary,English,Spanish,,1,2026-02-12 08:25:21,Apple,2005-07-09
2,U0003,57.6,57,1,2,Jennifer Stephen Rocha,Jennifer,Stephen,Rocha,julieryan@example.net,001-369-265-3287,26916 Carlson Mountain,Suite 801,,Kaylamouth,15122,"-11.2141595,53.412819",2025-05-31 22:10:52,Africa/Djibouti,/assets/profiles/U0003.jpg,Prefer not to say,English,Hindi,,3,2025-05-16 22:10:52,Apple,1963-04-16
3,U0004,174.77,174,1,2,Aaron Bowen,Aaron,,Bowen,williamrodriguez@example.net,289-332-5288x0957,3039 Christopher Oval Apt. 822,,,Arroyoburgh,35242,"51.646352,145.662628",2025-07-18 23:41:45,Europe/Oslo,/assets/profiles/U0004.jpg,Male,English,Spanish,,3,2025-07-15 23:41:45,Facebook,1994-03-28
4,U0005,16.66,16,2,2,Timothy Campos,Timothy,,Campos,raymond57@example.net,213.331.5098x393,10518 Joshua Oval,,,New David,75348,"64.675636,73.763327",2025-06-24 19:35:45,America/Tegucigalpa,/assets/profiles/U0005.jpg,Male,English,Hindi,,4,2025-05-27 19:35:45,Google,1992-03-17
5,U0006,58.73,58,1,2,Rhonda Lee,Rhonda,,Lee,agomez@example.com,001-801-406-5133x387,3178 Brent Plains Apt. 132,,,Tuckerborough,53066,"-74.260179,-91.611119",2025-12-19 14:53:47,Indian/Mauritius,/assets/profiles/U0006.jpg,Prefer not to say,English,French,,1,2025-12-04 14:53:47,Google,1951-11-11
6,U0007,38.5,38,2,2,Victoria Baker,Victoria,,Baker,smitchell@example.net,+1-272-734-3098,97882 Susan Common,Apt. 191,,South David,75169,"-23.907071,130.804800",2026-02-06 14:40:05,Africa/Kampala,/assets/profiles/U0007.jpg,Prefer not to say,English,French,,4,2026-02-05 14:40:05,Apple,1998-08-15
7,U0008,174.58,174,1,1,Manuel Brandy Barnes,Manuel,Brandy,Barnes,james53@example.com,(524)675-1079x9118,1354 Samuel Plains,Suite 980,,Sarahville,18102,"-19.0079695,-118.029707",2025-08-08 13:30:46,Africa/Kinshasa,/assets/profiles/U0008.jpg,Male,English,Spanish,,1,2025-07-20 13:30:46,Apple,1980-11-02
8,U0009,44.9,44,1,1,Denise Jacobs,Denise,,Jacobs,gracefarrell@example.net,840.216.4005x2427,28059 Russell Canyon,Suite 505,,Lake John,13974,"4.9398845,120.585174",2025-08-18 20:36:29,Africa/Niamey,/assets/profiles/U0009.jpg,Female,English,Spanish,,1,2025-07-27 20:36:29,Facebook,1994-02-05
9,U0010,232.173,232,1,1,Timothy Francisco Young,Timothy,Francisco,Young,nicolejohnson@example.net,563-542-1607x33754,365 Lin Trail,,,Michaelhaven,52887,"53.939314,-2.215269",2026-02-16 13:40:20,Europe/Vienna,/assets/profiles/U0010.jpg,Male,English,Spanish,,1,2026-02-02 13:40:20,Email,1999-09-12
10,U0011,19.1,19,2,2,Sherri Beverly Green,Sherri,Beverly,Green,carlsonmichael@example.com,(798)816-9340x60883,595 Jennifer Hills,,,Elizabethmouth,53244,"-10.635662,117.647935",2025-04-22 13:18:54,Asia/Harbin,/assets/profiles/U0011.jpg,Female,English,Hindi,,2,2025-03-31 13:18:54,Email,1963-05-01
11,U0012,19.27,19,1,2,Jennifer Erica Bentley,Jennifer,Erica,Bentley,richard04@example.com,969.495.7773,8951 Emily Fork,Apt. 200,,South Cheryl,10046,"32.249846,42.501321",2025-06-14 06:47:04,Africa/Lusaka,/assets/profiles/U0012.jpg,Female,English,German,,3,2025-06-08 06:47:04,Apple,2006-09-13
12,U0013,65.9,65,1,1,Michelle Cruz,Michelle,,Cruz,dianasmith@example.org,001-763-928-7083x172,727 Green Gateway Suite 873,Suite 714,,West Matthew,71299,"-68.3700995,-105.710992",2025-07-11 10:49:55,Europe/Prague,/assets/profiles/U0013.jpg,Female,English,French,,3,2025-06-24 10:49:55,Apple,1972-06-17
